userId,name,category,foodType,description,latitude,longitude,address,postalCode,city,country,photos
1,Pizzeria DG,Restaurant,"Pizza,Seafood","Pizzeria DG is a cozy restaurant located in Zagreb, Croatia, known for its authentic Italian-style pizzas made with fresh ingredients and traditional recipes.",45.8067541,15.9536475,Ulica Andrije Žaje 57,,Zagreb,Croatia,""
1,Čudesa od mesa,Fast Food,Grill,"Čudesa od mesa is a popular restaurant in Zagreb, Croatia known for its excellent meat dishes and traditional Balkan flavors. It offers a cozy atmosphere and a menu focused on high-quality grilled meats and Balkan specialties.",45.7868085,15.9495212,Horvaćanska cesta 23,10000,Zagreb,Croatia,""
1,Makedonski merak,Restaurant,Macedonian,"Makedonski merak is a traditional restaurant in Zagreb, Croatia, offering authentic Macedonian cuisine with a cozy atmosphere, providing a taste of the Balkans through its diverse menu and warm hospitality.",45.7996687,15.962135,Savska cesta 56,,Zagreb,Croatia,""
1,Trattoria Canzona,Restaurant,"Italian,Mediterranean","Trattoria Canzona is a cozy restaurant in Zagreb, Croatia, known for its authentic Italian cuisine, offering a warm and inviting atmosphere perfect for enjoying traditional dishes.",45.8079249,15.9885742,Ulica Ivana Šveara 9,,Zagreb,Croatia,""
1,Cavalino,Restaurant,"Mediterranean,Italian","Cavalino is a charming restaurant located in Zagreb, Croatia, known for its cozy atmosphere and delicious Mediterranean-inspired cuisine.",45.8069653,16.0004388,Zavrtnica 17,,Zagreb,Croatia,""
1,Paprika,Restaurant,"Croatian,Balkan","Paprika is a charming restaurant in Zagreb, Croatia, known for its authentic and flavorful Balkan cuisine. It offers a cozy atmosphere where guests can enjoy traditional dishes made with fresh, local ingredients.",45.8098147,16.0034537,,,Zagreb,Croatia,""
1,Cassandra,Restaurant,"Balkan,Croatian,Mediterranean","Cassandra is a cozy restaurant located in Zagreb, Croatia, known for its warm atmosphere and authentic Balkan flavors. It offers a delightful menu featuring traditional dishes prepared with fresh, locally sourced ingredients.",45.8001828,15.9716982,Ulica grada Vukovara 39,,Zagreb,Croatia,""
1,Pri Zvoncu,Restaurant,"Croatian,Balkan","Pri Zvoncu is a traditional restaurant located in Zagreb, Croatia, known for its authentic and hearty Croatian cuisine, offering a warm and rustic ambiance that reflects local culture.",45.7951732,15.9690081,Vrbik XII. 1,,Zagreb,Croatia,""
1,Buffet Mitnica,Restaurant,"Balkan,Croatian","Buffet Mitnica is a popular restaurant located in Zagreb, Croatia, known for offering a variety of traditional Balkan dishes in a casual buffet setting.",45.8173375,15.9369671,Ulica dr. Milana Rojca 28,10000,Zagreb,Croatia,""
1,Pizzeria Šestica,Restaurant,"Pizza,Italian","Pizzeria Šestica is a popular restaurant located in Zagreb, Croatia, known for its authentic Italian-style pizzas and cozy atmosphere. It offers a variety of classic and creative pizza options made with fresh ingredients.",45.8122642,15.9666635,Medulićeva ulica 6,10000,Zagreb,Croatia,""
1,Pizzeria Picikato,Restaurant,"Pizza,Italian","Pizzeria Picikato is a cozy restaurant located in Zagreb, Croatia, known for its delicious and authentic Italian-style pizzas made from fresh, high-quality ingredients.",45.8128884,15.9718662,,,Zagreb,Croatia,""
